Wave	Flux
3769.482577	33.69030402
3770.256952	43.54433857
3771.031327	48.75214066
3771.805702	26.0738314
3772.580077	33.51515349
3773.354453	47.47099273
3774.128828	12.71146314
3774.903203	39.01656631
3775.677578	43.94773007
3776.451954	23.2637096
3777.226329	77.30705597
3778.000704	56.28160711
3778.775079	50.3010251
3779.549454	34.06563755
3780.32383	40.56395786
3781.098205	18.15965979
3781.87258	34.18618093
3782.646955	21.81026062
3783.421331	31.62785556
3784.195706	33.31993622
3784.970081	44.13791809
3785.744456	52.4912776
3786.518831	55.51920334
3787.293207	28.9565201
3788.067582	31.86137195
3788.841957	43.97963939
3789.616332	30.89572263
3790.390707	50.77961989
3791.165083	48.14640622
3791.939458	37.75731683
3792.713833	35.4864665
3793.488208	39.89387009
3794.262584	34.46261013
3795.036959	36.61880397
3795.811334	27.4172786
3796.585709	46.87517388
3797.360084	24.91407389
3798.13446	14.04159869
3798.908835	42.07967302
3799.68321	32.01663838
3800.457585	37.57565474
3801.231961	33.10841621
3802.006336	37.49110497
3802.780711	20.11144605
3803.555086	32.13911405
3804.329461	48.39586801
3805.103837	40.96003046
3805.878212	33.95896169
3806.652587	32.47993364
3807.426962	25.45952341
3808.201338	19.15056261
3808.975713	27.50609794
3809.750088	44.66981772
3810.524463	30.79175727
3811.298838	34.59939007
3812.073214	50.88623487
3812.847589	51.70933914
3813.621964	43.00920169
3814.396339	23.38347742
3815.170715	44.59122895
3815.94509	49.41484865
3816.719465	54.90024989
3817.49384	61.69627581
3818.268215	37.11174803
3819.042591	27.99070137
3819.816966	33.32898623
3820.591341	32.75615373
3821.365716	39.33499246
3822.140092	49.98252483
3822.914467	38.81419955
3823.688842	50.17291666
3824.463217	42.97175754
3825.237592	42.14279286
3826.011968	42.94563186
3826.786343	27.69323399
3827.560718	40.46999279
3828.335093	35.42365371
3829.109468	23.2040626
3829.883844	29.356677
3830.658219	26.60504018
3831.432594	39.30721243
3832.206969	30.88134954
3832.981345	28.74227371
3833.75572	38.20182914
3834.530095	48.8346999
3835.30447	48.69626824
3836.078845	40.3638278
3836.853221	41.4750662
3837.627596	50.9674071
3838.401971	40.47822489
3839.176346	32.38316013
3839.950722	43.93466724
3840.725097	32.29533869
3841.499472	41.32700484
3842.273847	36.17174263
3843.048222	46.92803403
3843.822598	61.99505609
3844.596973	37.05107135
3845.371348	45.91602553
3846.145723	48.48155069
3846.920099	44.81767262
3847.694474	39.04663333
3848.468849	31.09579181
3849.243224	32.95782698
3850.017599	18.29206031
3850.791975	33.48296624
3851.56635	28.94505869
3852.340725	42.46786028
3853.1151	47.65103488
3853.889476	52.61803608
3854.663851	28.40579516
3855.438226	22.90590965
3856.212601	27.06346764
3856.986976	32.69765287
3857.761352	41.65176521
3858.535727	41.99876814
3859.310102	61.06258929
3860.084477	26.49034662
3860.858853	20.91175984
3861.633228	50.50351892
3862.407603	56.97392419
3863.181978	39.65085899
3863.956353	42.29857016
3864.730729	38.07644973
3865.505104	47.53853832
3866.279479	51.10631521
3867.053854	39.09830234
3867.828229	43.02879991
3868.602605	42.05670255
3869.37698	41.10972236
3870.151355	53.87547767
3870.92573	29.7353669
3871.700106	33.58081707
3872.474481	51.07885546
3873.248856	36.97654569
3874.023231	39.21353058
3874.797606	40.5041388
3875.571982	24.0935319
3876.346357	36.84511
3877.120732	41.0998359
3877.895107	34.74862404
3878.669483	37.93992126
3879.443858	30.10849815
3880.218233	27.42120671
3880.992608	45.65215889
3881.766983	25.37869529
3882.541359	46.26025972
3883.315734	53.17201151
3884.090109	33.79992596
3884.864484	34.31110241
3885.63886	42.74232807
3886.413235	28.35241885
3887.18761	34.78714286
3887.961985	53.94821133
3888.73636	55.73831488
3889.510736	40.47500087
3890.285111	42.86399642
3891.059486	33.66469186
3891.833861	30.08349215
3892.608237	43.77691265
3893.382612	41.96864553
3894.156987	34.01725609
3894.931362	20.27698276
3895.705737	43.2674938
3896.480113	39.57443279
3897.254488	35.76497358
3898.028863	31.94232977
3898.803238	46.65575529
3899.577614	26.8867898
3900.351989	44.22300519
3901.126364	34.7007508
3901.900739	29.48730007
3902.675114	33.4147642
3903.44949	16.99118578
3904.223865	49.32177561
3904.99824	58.17847916
3905.772615	33.64942674
3906.54699	42.56291326
3907.321366	48.73715347
3908.095741	34.95548272
3908.870116	44.26861792
3909.644491	45.42510641
3910.418867	41.04443465
3911.193242	47.06015529
3911.967617	39.30976147
3912.741992	33.83170294
3913.516367	48.97928842
3914.290743	29.71778832
3915.065118	50.28273978
3915.839493	49.89649276
3916.613868	32.36103669
3917.388244	43.79203218
3918.162619	40.74175007
3918.936994	24.11304013
3919.711369	29.64883984
3920.485744	35.61518904
3921.26012	40.5718882
3922.034495	59.36374295
3922.80887	33.61995264
3923.583245	40.67604679
3924.357621	32.74827897
3925.131996	28.09344382
3925.906371	37.05517152
3926.680746	25.48614671
3927.455121	31.65294626
3928.229497	41.72943549
3929.003872	38.74104502
3929.778247	40.37982084
3930.552622	33.11733652
3931.326998	41.30802866
3932.101373	29.85096837
3932.875748	35.42285433
3933.650123	30.47348729
3934.424498	29.7469686
3935.198874	51.74112934
3935.973249	43.20769592
3936.747624	37.11355591
3937.521999	28.80909402
3938.296375	30.67879749
3939.07075	43.85094862
3939.845125	56.31671662
3940.6195	37.94725338
3941.393875	45.47610309
3942.168251	49.12577218
3942.942626	57.87728483
3943.717001	38.57217576
3944.491376	27.97151608
3945.265751	40.10572627
3946.040127	28.28716555
3946.814502	20.48241472
3947.588877	34.87261114
3948.363252	43.16179997
3949.137628	32.98928102
3949.912003	36.04834845
3950.686378	35.25886081
3951.460753	31.28255993
3952.235128	49.23722584
3953.009504	37.63548438
3953.783879	37.58927609
3954.558254	43.15846742
3955.332629	39.78417139
3956.107005	48.72427327
3956.88138	39.31806768
3957.655755	40.88810413
3958.43013	34.54047628
3959.204505	35.69859002
3959.978881	35.49844937
3960.753256	53.5356057
3961.527631	36.33645612
3962.302006	30.07956138
3963.076382	33.58865213
3963.850757	30.90811843
3964.625132	27.0115657
3965.399507	38.12108837
3966.173882	37.59642293
3966.948258	32.49546082
3967.722633	18.06228277
3968.497008	27.51894373
3969.271383	32.50560668
3970.045759	31.60027934
3970.820134	41.15432129
3971.594509	45.10399622
3972.368884	29.87328239
3973.143259	42.29116656
3973.917635	33.31292437
3974.69201	36.72322725
3975.466385	29.35230419
3976.24076	34.73365803
3977.015136	38.41314798
3977.789511	29.55774674
3978.563886	30.30256663
3979.338261	34.7487008
3980.112636	29.07623762
3980.887012	29.02899171
3981.661387	30.02196314
3982.435762	38.07872349
3983.210137	31.49119208
3983.984512	29.8103002
3984.758888	31.76740688
3985.533263	40.33177554
3986.307638	34.84971742
3987.082013	31.25482754
3987.856389	32.50410849
3988.630764	37.41733104
3989.405139	25.05726746
3990.179514	27.90880652
3990.953889	34.7395052
3991.728265	31.34925318
3992.50264	45.43964891
3993.277015	31.62349598
3994.05139	30.66237829
